16.8318,16.5251,16.0000,17.5468,16.2882,16.6008,17.0049,17.8862,19.2212,19.1668,19.4479,19.1608,18.9771,18.3784,18.8722,19.8756,21.7075,20.2916,19.7695,19.7902,17.7026,18.1645,19.2092,19.5605,17.8596,18.8315,16.2227,18.5406,19.2403,17.4807,17.5177
15.7267,17.0113,18.5976,16.7398,17.2387,17.3125,18.0431,20.0568,19.5456,18.6546,19.5900,16.7249,19.1801,16.5085,20.6450,17.5760,20.6007,18.7564,22.0316,18.0737,18.9534,20.8276,19.5031,19.1063,18.6296,18.7781,17.9559,18.4128,18.2932,18.9029,17.7590
14.7372,16.6951,15.9799,16.7228,17.3583,17.9072,17.5937,15.8722,17.3016,19.3844,20.9623,19.2674,21.0080,17.5687,21.5724,18.7950,18.6174,19.1134,19.6008,17.8427,19.8337,17.1630,18.6092,17.2894,18.0497,15.4330,16.5143,16.1374,18.2841,14.9236,16.8884
15.9651,16.4005,16.3228,16.3294,17.9415,17.5629,17.9024,18.7640,16.0119,19.4427,21.1726,18.2069,22.0456,18.1937,19.4157,20.6505,19.3325,18.9178,19.7342,19.8743,20.1433,18.7765,16.9365,19.4823,19.8800,18.1233,19.1906,16.8395,17.3910,16.6691,17.5138
15.3646,16.9609,15.0906,16.2967,17.5783,16.3911,20.3488,17.9589,16.4933,19.8411,19.4208,19.2875,20.1776,20.5925,20.1557,20.8540,20.2759,20.6250,18.9686,18.8117,19.8892,19.8865,18.9038,18.7701,19.4751,17.6109,17.0663,18.9642,18.1991,16.9709,17.4649
15.1744,17.3893,16.2119,17.6434,16.9524,17.3413,17.5621,19.7346,19.7610,17.3374,18.5048,20.8136,18.0076,21.6476,20.6886,18.8103,17.5088,19.6707,21.1157,19.6975,20.0737,19.7058,18.8841,19.2361,18.0272,18.0506,17.5912,17.8364,17.7055,17.8406,17.1492
15.3981,14.0086,15.5096,14.9424,14.5112,16.0439,16.9504,17.4121,20.3342,19.7500,18.6588,19.4181,18.6374,18.9556,20.1516,19.9112,21.2468,20.1915,18.2961,17.6954,19.1245,20.0126,17.7504,17.5655,20.7388,18.1955,17.7222,20.2474,17.4478,16.5223,17.5376
15.0959,16.0650,18.5102,16.1201,15.0129,16.5792,17.0587,17.0345,19.6067,18.2648,18.3193,19.3311,19.3171,17.6072,20.5175,20.6566,20.2943,20.3974,20.6334,20.7011,17.5382,18.4554,18.0021,18.2649,19.0606,16.6167,18.7836,16.6006,16.9847,16.4779,17.4973
16.2313,15.4925,15.6710,17.1117,15.7461,18.0901,17.2294,18.1749,17.7518,17.8648,18.1886,19.8323,17.5528,19.8047,19.4323,19.4541,21.7341,19.0592,18.8194,17.9015,17.4533,19.0266,18.4377,19.6839,19.1069,17.8051,19.8882,19.3315,18.0787,18.7754,17.6484
15.7877,17.1842,16.0409,16.5339,17.5709,17.6349,18.7991,17.6633,17.7272,19.3135,19.0165,19.8854,20.1597,20.4237,19.0797,19.7081,18.9944,18.9734,19.4096,20.5853,20.8010,17.5738,18.0535,17.1023,16.8525,17.2926,15.8398,17.6300,15.8850,16.6173,17.4840
16.8521,15.7618,15.7993,17.4221,17.7795,17.8829,17.3452,18.7394,19.2538,18.0074,18.7107,17.4523,18.8084,20.6943,19.1113,20.1429,19.4601,20.9123,19.1902,16.9396,18.2567,18.8859,18.6802,18.4091,19.0838,17.7444,15.3554,16.3889,17.1373,16.5474,17.9020
15.2061,16.2305,17.8390,16.8337,18.2894,17.2055,17.6501,16.1793,18.4184,17.4420,17.5723,17.2560,19.7117,21.7671,19.1777,20.0548,19.8316,20.4618,20.7416,19.5549,19.1439,17.5621,19.8731,19.1275,17.0973,17.4494,17.3230,17.5818,16.7551,18.3398,17.4277
17.0661,13.7004,15.8089,16.5587,17.6961,16.4378,17.1334,18.4261,17.1019,18.8915,19.8066,18.0033,19.6724,19.7189,18.9103,20.3410,19.8792,19.1701,19.4481,18.5701,19.7274,19.6146,19.5746,18.7032,18.5636,17.4966,18.5947,17.0620,17.9708,16.8744,17.4046
14.9479,15.9045,18.0452,18.8506,17.1404,17.6456,16.5771,17.5055,17.2968,19.4438,18.1178,18.7286,20.0339,19.4125,20.8855,19.8630,20.6488,18.6188,19.3599,17.8223,18.1407,18.0552,20.5372,17.3981,20.3643,18.9002,18.5716,17.1902,18.3869,19.3955,17.3525
