9.9477,9.9062,9.8210,9.6979,9.6596,9.2383,8.7828,8.2560,7.7700,7.1471,6.5205,5.9333,5.1287,4.2176,3.4979,2.5688,1.4445,0.3548,-0.8348,-1.9664,-2.9530,-3.9781,-5.1429,-6.2682,-7.3853,-8.6416,-9.5900,-10.8264,-11.8639,-13.0585,-14.3248,-15.4649,-16.6532,-17.7690,-18.8748,-20.0453
7.2651,7.4148,7.2759,7.1960,6.9156,6.7111,6.5402,6.0449,5.5944,4.9295,4.1396,3.4369,2.6171,1.7478,0.7794,-0.1783,-1.0328,-1.9196,-2.8262,-3.9042,-4.8842,-5.6674,-6.5990,-7.6049,-8.6322,-9.7203,-10.7004,-11.8895,-12.7815,-13.6073,-14.5433,-15.5456,-16.7667,-17.8772,-19.0561,-20.0004
8.0774,8.2070,8.0732,7.8505,7.7172,7.3328,6.8219,6.1401,5.6309,4.9111,4.2427,3.5154,2.8453,2.0165,1.2466,0.3205,-0.7350,-1.8119,-2.7769,-3.7350,-4.7390,-5.8185,-6.8870,-7.8279,-9.0267,-10.0936,-11.1125,-12.3166,-13.3418,-14.4889,-15.6077,-16.6009,-17.6848,-18.8791,-20.1256,-21.2220
7.0368,7.1141,7.0831,6.9048,6.6369,6.3722,6.0316,5.6079,5.1139,4.4948,4.0261,3.2726,2.4280,1.6909,0.8468,-0.2171,-1.4354,-2.5006,-3.4868,-4.4196,-5.4912,-6.2307,-7.3321,-8.2734,-9.1972,-10.2684,-11.2005,-12.1133,-13.1956,-14.3021,-15.4041,-16.3822,-17.5038,-18.4666,-19.6556,-20.8778
7.9896,7.9079,7.7604,7.6385,7.4918,7.0732,6.7005,6.1705,5.7968,5.2461,4.5509,3.7519,2.9699,2.2736,1.4039,0.4178,-0.3736,-1.3354,-2.3978,-3.4148,-4.3763,-5.2261,-6.2681,-7.2840,-8.3114,-9.4038,-10.6600,-11.7125,-12.8058,-13.8976,-14.8788,-16.0501,-17.0485,-18.0121,-19.0016,-20.1371
8.1775,7.8792,7.6400,7.3310,6.9707,6.5068,6.2014,5.7861,5.0644,4.4415,3.8757,3.1346,2.4472,1.5964,0.6336,-0.3208,-1.4074,-2.4936,-3.4300,-4.4265,-5.4408,-6.5807,-7.4624,-8.5275,-9.6261,-10.8498,-11.8401,-12.7176,-13.7942,-14.8631,-15.9448,-17.0661,-18.1424,-19.3453,-20.4514,-21.5441
8.8135,8.6564,8.7243,8.5662,8.4492,8.0025,7.6167,7.0944,6.5715,6.1759,5.6246,5.1115,4.4399,3.7890,2.9657,1.9282,1.1482,0.0512,-1.0677,-2.1068,-3.0901,-4.1693,-5.2655,-6.2791,-7.4761,-8.7212,-9.8187,-10.8859,-11.9094,-12.8797,-13.9940,-15.3210,-16.6373,-17.5692,-18.6940,-19.8478
10.4509,10.2866,10.2670,10.0292,9.7142,9.5993,9.2311,8.7827,8.1312,7.5223,6.7862,5.9818,5.2025,4.4305,3.4767,2.4778,1.6452,0.5678,-0.7451,-1.9483,-2.9702,-4.1982,-5.3913,-6.5492,-7.8483,-8.9200,-10.1494,-11.3132,-12.4989,-13.5701,-14.6761,-15.9247,-17.1366,-18.3677,-19.4769,-20.6964
8.8801,8.9686,8.9597,8.7190,8.5704,8.1508,7.5985,7.0450,6.6707,6.1803,5.6333,4.8935,4.1100,3.3133,2.4167,1.3142,0.2863,-1.0132,-2.2503,-3.4035,-4.3996,-5.5720,-6.6086,-7.6364,-8.6736,-9.8343,-11.2128,-12.4841,-13.5063,-14.4590,-15.5223,-16.6022,-17.6451,-18.7282,-19.8786,-20.9157
8.7045,8.6328,8.4482,8.2300,8.1132,7.8839,7.4507,6.9839,6.6065,5.8575,5.3790,4.6826,4.0419,3.2834,2.4353,1.5175,0.6023,-0.3800,-1.5504,-2.6871,-3.8012,-4.9406,-6.0846,-7.1945,-8.2217,-9.3521,-10.3572,-11.4217,-12.3841,-13.5816,-14.5538,-15.8326,-16.7534,-17.7701,-18.9002,-20.0183
9.8628,9.7821,9.5888,9.3231,9.1134,8.6803,8.2693,7.7107,7.2342,6.7810,6.1889,5.6784,4.8050,3.8035,2.9564,1.8540,0.7508,-0.3811,-1.3751,-2.3616,-3.6008,-4.8195,-5.9847,-7.2857,-8.5824,-9.7339,-10.8493,-11.9210,-13.1471,-14.3382,-15.4316,-16.6102,-17.7543,-18.9613,-19.9994,-21.3278
8.7561,8.6564,8.5862,8.4670,8.1999,7.8150,7.4706,6.9675,6.4812,5.9474,5.1995,4.3529,3.5020,2.6467,1.7577,0.6795,-0.4033,-1.5786,-2.6113,-3.6197,-4.5839,-5.6365,-6.7416,-7.7035,-8.6779,-9.7621,-10.8640,-11.9441,-12.8410,-13.7644,-14.7979,-15.9162,-16.8076,-17.8311,-19.0245,-20.0408
10.0236,10.0121,9.9173,9.7007,9.7041,9.5159,9.0027,8.6329,7.8880,7.2362,6.4342,5.6929,4.8774,4.1316,3.3051,2.4520,1.5966,0.4187,-0.9389,-2.1363,-3.0729,-4.2243,-5.3415,-6.3480,-7.3740,-8.5094,-9.5658,-10.6945,-11.6258,-12.8521,-13.9835,-15.1774,-16.4197,-17.5900,-18.7394,-20.0366
10.4107,10.5156,10.3879,10.0934,9.8684,9.3995,8.9351,8.5917,8.0823,7.5732,6.7831,6.2863,5.6764,4.9513,3.9213,2.9323,1.9539,0.8544,-0.4238,-1.3818,-2.3950,-3.4144,-4.6905,-5.8350,-6.9160,-8.0912,-9.2618,-10.5638,-11.6821,-12.7312,-13.9328,-15.2478,-16.3199,-17.4308,-18.5836,-19.6453
7.2924,7.3886,7.2458,7.0992,6.9685,6.5428,6.2105,5.9016,5.4780,4.9388,4.3455,3.8053,3.1363,2.1529,1.5537,0.9045,-0.1432,-1.1835,-2.1637,-3.0752,-4.2859,-5.1659,-6.1067,-7.2149,-8.2555,-9.1532,-10.2113,-11.1435,-12.2873,-13.3937,-14.4941,-15.4534,-16.5420,-17.6811,-18.6242,-19.7571
9.3413,9.2785,8.9953,8.9599,8.6669,8.2854,7.9986,7.8455,7.1618,6.6618,6.1117,5.4447,4.7705,3.9538,3.1826,2.2891,1.4315,0.2889,-0.7515,-1.8669,-3.0140,-4.0946,-5.1387,-6.2385,-7.2837,-8.3844,-9.5042,-10.5174,-11.3288,-12.5108,-13.6813,-14.5992,-15.7883,-17.1019,-18.1823,-19.1170
