Function,Calls,Total Time,Per Call,Cumulative Time,Per Call (Cumulative)
c:\Users\birik\github\SOGA\src\libSOGAupdate.py:184(<listcomp>),286,286,0.0022771000000000002,7.961888111888112e-06,0.0022771000000000002,7.961888111888112e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:250(__init__),88,88,9.21e-05,1.046590909090909e-06,0.00027110000000000003,3.0806818181818185e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:412(__init__),88,88,7.98e-05,9.068181818181819e-07,0.0002526,2.8704545454545455e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:502(__init__),88,88,8.89e-05,1.0102272727272728e-06,0.00022930000000000002,2.6056818181818184e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:564(__init__),88,88,8.800000000000001e-05,1.0000000000000002e-06,0.00024080000000000003,2.7363636363636367e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:637(__init__),88,88,8.730000000000001e-05,9.920454545454546e-07,0.0002471,2.8079545454545452e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:107(__init__),62,62,0.00010140000000000001,1.6354838709677421e-06,0.0003926,6.332258064516129e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:1057(__init__),44,44,4.5400000000000006e-05,1.031818181818182e-06,0.00011930000000000001,2.7113636363636365e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:163(__init__),62,62,4.88e-05,7.870967741935484e-07,0.0001586,2.5580645161290325e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:234(__init__),116,116,9.42e-05,8.120689655172414e-07,0.0002629,2.2663793103448277e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:295(__init__),137,137,0.00011850000000000001,8.649635036496351e-07,0.0003617,2.64014598540146e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:437(__init__),106,106,0.0001015,9.575471698113208e-07,0.0002834,2.6735849056603773e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:509(__init__),12,12,1.25e-05,1.0416666666666667e-06,3.5300000000000004e-05,2.941666666666667e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:586(__init__),62,62,5.44e-05,8.774193548387096e-07,0.00016240000000000002,2.619354838709678e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:506(var),176,176,9.080000000000001e-05,5.15909090909091e-07,0.0006211000000000001,3.5289772727272732e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:198(inop),88,88,7.170000000000001e-05,8.147727272727273e-07,0.00037200000000000004,4.227272727272728e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:510(const),88,88,4.6500000000000005e-05,5.28409090909091e-07,0.0001812,2.0590909090909094e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:202(const),264,264,0.00011990000000000001,4.5416666666666673e-07,0.0008564,3.243939393939394e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:568(NUM),132,132,8.410000000000001e-05,6.371212121212122e-07,0.0002997,2.2704545454545457e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:571(par),88,88,3.74e-05,4.25e-07,0.000171,1.9431818181818184e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:575(idd),44,44,2.9100000000000003e-05,6.613636363636364e-07,9.45e-05,2.1477272727272727e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:644(idd),88,88,4.1e-05,4.659090909090909e-07,0.0001722,1.956818181818182e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:648(gm),88,88,5.83e-05,6.625e-07,0.0002145,2.4375e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:111(symvars),62,62,4.47e-05,7.209677419354839e-07,0.0002674,4.312903225806452e-06
c:\Users\birik\github\SOGA\src\ASGMTParser.py:352(is_const),168,168,0.0001371,8.160714285714286e-07,0.0016003,9.525595238095238e-06
c:\Users\birik\github\SOGA\src\libSOGAmerge.py:38(<listcomp>),44,44,3.8100000000000005e-05,8.65909090909091e-07,3.8100000000000005e-05,8.65909090909091e-07
c:\Users\birik\github\SOGA\src\TRUNCListener.py:25(exitIneq),88,88,9.9e-06,1.125e-07,9.9e-06,1.125e-07
c:\Users\birik\github\SOGA\src\TRUNCListener.py:12(enterTrunc),88,88,1.8e-05,2.0454545454545456e-07,1.8e-05,2.0454545454545456e-07
c:\Users\birik\github\SOGA\src\TRUNCListener.py:16(exitTrunc),88,88,9.7e-06,1.1022727272727272e-07,9.7e-06,1.1022727272727272e-07
c:\Users\birik\github\SOGA\src\TRUNCListener.py:30(enterInop),88,88,1.0700000000000001e-05,1.215909090909091e-07,1.0700000000000001e-05,1.215909090909091e-07
c:\Users\birik\github\SOGA\src\TRUNCListener.py:34(exitInop),88,88,1.09e-05,1.2386363636363636e-07,1.09e-05,1.2386363636363636e-07
c:\Users\birik\github\SOGA\src\TRUNCListener.py:70(exitMonom),88,88,1.08e-05,1.2272727272727272e-07,1.08e-05,1.2272727272727272e-07
c:\Users\birik\github\SOGA\src\TRUNCListener.py:75(enterConst),88,88,9.9e-06,1.125e-07,9.9e-06,1.125e-07
c:\Users\birik\github\SOGA\src\TRUNCListener.py:79(exitConst),88,88,9.600000000000001e-06,1.090909090909091e-07,9.600000000000001e-06,1.090909090909091e-07
c:\Users\birik\github\SOGA\src\TRUNCListener.py:84(enterVar),88,88,1.25e-05,1.4204545454545455e-07,1.25e-05,1.4204545454545455e-07
c:\Users\birik\github\SOGA\src\TRUNCListener.py:88(exitVar),88,88,1.18e-05,1.340909090909091e-07,1.18e-05,1.340909090909091e-07
c:\Users\birik\github\SOGA\src\TRUNCListener.py:138(enterPar),44,44,5e-06,1.1363636363636364e-07,5e-06,1.1363636363636364e-07
c:\Users\birik\github\SOGA\src\TRUNCListener.py:142(exitPar),44,44,5.600000000000001e-06,1.272727272727273e-07,5.600000000000001e-06,1.272727272727273e-07
c:\Users\birik\github\SOGA\src\ASGMTListener.py:16(exitAssignment),62,62,7.8e-06,1.2580645161290322e-07,7.8e-06,1.2580645161290322e-07
c:\Users\birik\github\SOGA\src\ASGMTListener.py:34(exitAdd_term),116,116,1.4900000000000001e-05,1.2844827586206898e-07,1.4900000000000001e-05,1.2844827586206898e-07
c:\Users\birik\github\SOGA\src\ASGMTListener.py:39(enterTerm),137,137,1.77e-05,1.2919708029197082e-07,1.77e-05,1.2919708029197082e-07
c:\Users\birik\github\SOGA\src\ASGMTListener.py:43(exitTerm),137,137,1.7e-05,1.240875912408759e-07,1.7e-05,1.240875912408759e-07
c:\Users\birik\github\SOGA\src\ASGMTListener.py:48(enterSymvars),106,106,1.66e-05,1.5660377358490567e-07,1.66e-05,1.5660377358490567e-07
